x	y	kxx	kxy	kyy
37.0819	103.239	0.0439492	-0.000602385	0.0253217
77.8686	99.8403	0.062631	0.0036919	0.0396843
116.91	96.1982	0.0661361	0.00435018	0.0433794
153.319	93.0575	0.0680548	0.00788311	0.0385629
40.6166	139.91	0.034771	-0.00129746	0.0277691
85.1946	135.027	0.0519315	0.00127029	0.0366909
128.061	129.512	0.0702831	0.0103585	0.0427893
166.692	124.566	0.041962	0.00383467	0.0310182
36.9751	67.3648	0.0623622	-0.0051067	0.023291
71.9261	61.9925	0.0608708	0.00221548	0.0260694
106.688	57.4787	0.0865871	0.000589173	0.0329732
139.959	53.3624	0.0802137	0.00601918	0.0301627
39.0817	94.2433	0.0473193	-0.00204582	0.0236954
77.6187	87.9538	0.0638631	0.00133681	0.0288365
115.556	82.4263	0.0716704	0.0137882	0.0417691
151.602	77.1768	0.0646039	0.00763715	0.0304299
42.3323	127.006	0.0423625	-0.00394755	0.0279496
84.8986	119.908	0.0676076	0.000982547	0.0371739
126.51	112.591	0.0711599	0.000376691	0.0430899
165.378	105.581	0.0515008	0.00384991	0.0327495
