-0.122575	0	-1	0	0.128783	-1.2374	-0.0511169	0	0	0	0	0	0	0	0	0	0	0	0	4.24766	-63.8183	17.0412	-1327.63	-18.1686	162.164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.128783	0	-1	0	1.2151	0.045577	0	0	0	0	0	0	0	0	0	0	0	0	59.8247	-69.3602	-44.7719	-13.7156	-1327.33	-169.905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.242739	0	-1	0	0.127142	-5.62811	-0.503655	0	0	0	0	0	0	0	0	0	0	0	0	-2.59746	-68.3665	25.9613	-1309.28	-33.3983	321.488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.127142	0	-1	0	2.85092	0.24177	0	0	0	0	0	0	0	0	0	0	0	0	56.3593	-93.6112	-56.8289	-28.6891	-1350.74	-167.779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.136224	0	-1	0	0.0495163	0.943062	0.0272355	0	0	0	0	0	0	0	0	0	0	0	0	13.7712	-39.6695	6.28521	-1349.12	1.08602	-184.568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.0495163	0	-1	0	0.290015	0.0065997	0	0	0	0	0	0	0	0	0	0	0	0	41.8469	-26.007	-16.3189	5.38685	-1363.89	-66.1746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.018925	0	-1	0	0.0473349	0.0313056	0.000209237	0	0	0	0	0	0	0	0	0	0	0	0	8.66897	-40.7512	4.11161	-1419.46	-4.083	-26.7533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.0473349	0	-1	0	0.0664233	0.000396072	0	0	0	0	0	0	0	0	0	0	0	0	39.046	-51.386	-27.1568	0.506629	-1418.63	-65.9578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.107079	0	-1	0	0.0445529	-0.556279	-0.0126059	0	0	0	0	0	0	0	0	0	0	0	0	3.15196	-43.4444	7.99952	-1453.75	-9.32327	156.127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.0445529	0	-1	0	0.210294	0.00435037	0	0	0	0	0	0	0	0	0	0	0	0	35.6241	-78.1658	-38.3795	-4.4685	-1463.6	-63.608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.238522	0	-1	0	0.0411406	-4.38907	-0.320786	0	0	0	0	0	0	0	0	0	0	0	0	-2.26919	-47.6353	18.5951	-1437.35	-14.6991	348.851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.0411405	0	-1	0	0.725683	0.0498728	0	0	0	0	0	0	0	0	0	0	0	0	31.5837	-105.567	-49.5285	-9.56606	-1494.31	-58.8189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.174628	0	-1	0	-0.0434014	1.83575	0.0800135	0	0	0	0	0	0	0	0	0	0	0	0	7.88779	-18.5789	-2.63137	-1449.67	-12.5707	-254.635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	-0.0434014	0	-1	0	-0.480966	-0.022251	0	0	0	0	0	0	0	0	0	0	0	0	18.3889	-28.2876	-11.3952	-7.97492	-1477.69	64.7287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0489405	0	-1	0	-0.0499592	0.152858	0.00191509	0	0	0	0	0	0	0	0	0	0	0	0	4.63569	-17.7049	-6.66554	-1544.79	-7.73303	-74.8346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	-0.0499592	0	-1	0	-0.128806	-0.00145062	0	0	0	0	0	0	0	0	0	0	0	0	14.5096	-56.8729	-20.4148	-2.78217	-1545.39	78.7682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
